ItemID,ItemName,Location
INV01,Desk Lamp,Aisle-A-Bay-1
INV02,Wireless Mouse,Aisle-A-Bay-2
INV03,A4 Copier Paper (500 Sheets),Aisle-A-Bay-3
INV04,Stainless Steel Water Bottle,Aisle-A-Bay-4
INV05,Ergonomic Office Chair,Aisle-A-Bay-5
INV06,Bluetooth Headphones,Aisle-B-Bay-1
INV07,USB-C Charging Cable,Aisle-B-Bay-2
INV08,Yoga Mat,Aisle-B-Bay-3
INV09,Coffee Maker,Aisle-B-Bay-4
INV10,Toaster,Aisle-B-Bay-5
INV11,AA Batteries (12 Pack),Aisle-C-Bay-1
INV12,HDMI Cable (2m),Aisle-C-Bay-2
INV13,Non-Stick Frying Pan,Aisle-C-Bay-3
INV14,Set of 4 Coffee Mugs,Aisle-C-Bay-4
INV15,Mesh Desk Organizer,Aisle-C-Bay-5
INV16,Mechanical Keyboard,Aisle-D-Bay-1
INV17,Webcam 1080p,Aisle-D-Bay-2
INV18,External Hard Drive 1TB,Aisle-D-Bay-3
INV19,Adjustable Laptop Stand,Aisle-D-Bay-4
INV20,Extended Mouse Pad,Aisle-D-Bay-5
INV21,Pop-Up Laundry Basket,Aisle-E-Bay-1
INV22,Cotton Bath Towel Set,Aisle-E-Bay-2
INV23,Electric Toothbrush,Aisle-E-Bay-3
INV24,Compact Hair Dryer,Aisle-E-Bay-4
INV25,Home Tool Kit (39 Piece),Aisle-E-Bay-5
INV26,Extension Cord (3m),Aisle-F-Bay-1
INV27,LED Light Bulbs (4 Pack),Aisle-F-Bay-2
INV28,Travel Umbrella,Aisle-F-Bay-3
INV29,Water Resistant Backpack,Aisle-F-Bay-4
INV30,Analog Wall Clock,Aisle-F-Bay-5
